,code,name,price,distributor,image_src
0,FRE00101,Банани мин. 5п цца 1кг,69,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00101.jpg&w=750&q=75
1,FRE00101,Банани мин. 5п цца 1кг,69,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00101.jpg&w=750&q=75
2,FRE00102,Банани Позелени мин. 5п цца 1кг,69,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00102.jpg&w=750&q=75
3,FRE00102,Банани Позелени мин. 5п цца 1кг,69,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00102.jpg&w=750&q=75
4,FRE00404,Лимони мин. 7п цца 1кг,52,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fsource%2F69%2Ffre00404.jpeg&w=750&q=75
5,FRE00404,Лимони мин. 7п цца 1кг,52,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fsource%2F69%2Ffre00404.jpeg&w=750&q=75
6,FRE00136,Грозје Бело цца 500гр,69,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00136.jpg&w=750&q=75
7,FRE00136,Грозје Бело цца 500гр,69,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00136.jpg&w=750&q=75
8,FRE00108,Авокадо Fuerte ready2eat 1п цца 160гр,56,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00108.jpg&w=750&q=75
9,FRE00108,Авокадо Fuerte ready2eat 1п цца 160гр,56,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00108.jpg&w=750&q=75
10,FRE00119,Мандарини мин. 6п цца 1кг,148,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00119.jpg&w=750&q=75
11,FRE00119,Мандарини мин. 6п цца 1кг,148,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00119.jpg&w=750&q=75
12,FRE00137,Грозје Црно цца 500гр,62,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00137.jpg&w=750&q=75
13,FRE00137,Грозје Црно цца 500гр,62,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00137.jpg&w=750&q=75
14,FRE00109,Портокали мин. 4п цца 1кг,94,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00109.jpg&w=750&q=75
15,FRE00109,Портокали мин. 4п цца 1кг,94,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00109.jpg&w=750&q=75
16,FRE00113,Лимон 1п цца 140гр,8,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00113.jpg&w=750&q=75
17,FRE00113,Лимон 1п цца 140гр,8,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00113.jpg&w=750&q=75
18,FRE00154,Јаболка Ајдарет мин. 5п цца 1кг,37,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00154.jpg&w=750&q=75
19,FRE00154,Јаболка Ајдарет мин. 5п цца 1кг,37,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00154.jpg&w=750&q=75
20,FRE00121,Јаболка Грени Смит 5п цца 1кг,36,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00121.jpg&w=750&q=75
21,FRE00121,Јаболка Грени Смит 5п цца 1кг,36,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00121.jpg&w=750&q=75
22,FRE00107,Авокадо Fuerte Позелено 1п цца 160гр,56,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00107.jpg&w=750&q=75
23,FRE00107,Авокадо Fuerte Позелено 1п цца 160гр,56,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00107.jpg&w=750&q=75
24,FRE00336,Круша Вилијам 1п цца 290гр,25,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00336.jpg&w=750&q=75
25,FRE00336,Круша Вилијам 1п цца 290гр,25,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00336.jpg&w=750&q=75
26,FRE00111,Лимета 1п цца 100гр,45,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00111.jpg&w=750&q=75
27,FRE00111,Лимета 1п цца 100гр,45,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00111.jpg&w=750&q=75
28,FRE00235,Костени цца 500гр,115,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00235.jpg&w=750&q=75
29,FRE00235,Костени цца 500гр,115,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00235.jpg&w=750&q=75
30,FRE00156,Јаболка Црвен делишес мин. 5п цца 1кг,35,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00156.jpg&w=750&q=75
31,FRE00156,Јаболка Црвен делишес мин. 5п цца 1кг,35,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00156.jpg&w=750&q=75
32,FRE00160,Јаболка Златен делишес мин. 5п цца 1кг,36,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00160.jpg&w=750&q=75
33,FRE00160,Јаболка Златен делишес мин. 5п цца 1кг,36,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00160.jpg&w=750&q=75
34,FRE00172,Калинки мин. 3п цца. 1.2кг,155,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00172.jpg&w=750&q=75
35,FRE00172,Калинки мин. 3п цца. 1.2кг,155,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00172.jpg&w=750&q=75
36,FUD16499,Food Bar Тиква 1кг,89,Трговец:,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFUD16499.jpg&w=750&q=75
37,FUD16499,Food Bar Тиква 1кг,89,Трговец:,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFUD16499.jpg&w=750&q=75
38,FRE00146,Дуња 1п цца 330гр,39,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00146.jpg&w=750&q=75
39,FRE00146,Дуња 1п цца 330гр,39,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00146.jpg&w=750&q=75
40,FRE00101,Банани мин. 5п цца 1кг,69,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00101.jpg&w=750&q=75
41,FRE00101,Банани мин. 5п цца 1кг,69,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00101.jpg&w=750&q=75
42,FRE00102,Банани Позелени мин. 5п цца 1кг,69,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00102.jpg&w=750&q=75
43,FRE00102,Банани Позелени мин. 5п цца 1кг,69,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00102.jpg&w=750&q=75
44,FRE00404,Лимони мин. 7п цца 1кг,52,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fsource%2F69%2Ffre00404.jpeg&w=750&q=75
45,FRE00404,Лимони мин. 7п цца 1кг,52,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fsource%2F69%2Ffre00404.jpeg&w=750&q=75
46,FRE00136,Грозје Бело цца 500гр,69,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00136.jpg&w=750&q=75
47,FRE00136,Грозје Бело цца 500гр,69,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00136.jpg&w=750&q=75
48,FRE00108,Авокадо Fuerte ready2eat 1п цца 160гр,56,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00108.jpg&w=750&q=75
49,FRE00108,Авокадо Fuerte ready2eat 1п цца 160гр,56,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00108.jpg&w=750&q=75
50,FRE00119,Мандарини мин. 6п цца 1кг,148,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00119.jpg&w=750&q=75
51,FRE00119,Мандарини мин. 6п цца 1кг,148,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00119.jpg&w=750&q=75
52,FRE00137,Грозје Црно цца 500гр,62,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00137.jpg&w=750&q=75
53,FRE00137,Грозје Црно цца 500гр,62,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00137.jpg&w=750&q=75
54,FRE00109,Портокали мин. 4п цца 1кг,94,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00109.jpg&w=750&q=75
55,FRE00109,Портокали мин. 4п цца 1кг,94,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00109.jpg&w=750&q=75
56,FRE00113,Лимон 1п цца 140гр,8,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00113.jpg&w=750&q=75
57,FRE00113,Лимон 1п цца 140гр,8,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00113.jpg&w=750&q=75
58,FRE00154,Јаболка Ајдарет мин. 5п цца 1кг,37,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00154.jpg&w=750&q=75
59,FRE00154,Јаболка Ајдарет мин. 5п цца 1кг,37,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00154.jpg&w=750&q=75
60,FRE00121,Јаболка Грени Смит 5п цца 1кг,36,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00121.jpg&w=750&q=75
61,FRE00121,Јаболка Грени Смит 5п цца 1кг,36,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00121.jpg&w=750&q=75
62,FRE00107,Авокадо Fuerte Позелено 1п цца 160гр,56,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00107.jpg&w=750&q=75
63,FRE00107,Авокадо Fuerte Позелено 1п цца 160гр,56,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00107.jpg&w=750&q=75
64,FRE00336,Круша Вилијам 1п цца 290гр,25,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00336.jpg&w=750&q=75
65,FRE00336,Круша Вилијам 1п цца 290гр,25,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00336.jpg&w=750&q=75
66,FRE00111,Лимета 1п цца 100гр,45,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00111.jpg&w=750&q=75
67,FRE00111,Лимета 1п цца 100гр,45,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00111.jpg&w=750&q=75
68,FRE00235,Костени цца 500гр,115,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00235.jpg&w=750&q=75
69,FRE00235,Костени цца 500гр,115,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00235.jpg&w=750&q=75
70,FRE00156,Јаболка Црвен делишес мин. 5п цца 1кг,35,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00156.jpg&w=750&q=75
71,FRE00156,Јаболка Црвен делишес мин. 5п цца 1кг,35,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00156.jpg&w=750&q=75
72,FRE00160,Јаболка Златен делишес мин. 5п цца 1кг,36,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00160.jpg&w=750&q=75
73,FRE00160,Јаболка Златен делишес мин. 5п цца 1кг,36,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00160.jpg&w=750&q=75
74,FRE00172,Калинки мин. 3п цца. 1.2кг,155,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00172.jpg&w=750&q=75
75,FRE00172,Калинки мин. 3п цца. 1.2кг,155,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00172.jpg&w=750&q=75
76,FUD16499,Food Bar Тиква 1кг,89,Трговец:,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFUD16499.jpg&w=750&q=75
77,FUD16499,Food Bar Тиква 1кг,89,Трговец:,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFUD16499.jpg&w=750&q=75
78,FRE00146,Дуња 1п цца 330гр,39,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00146.jpg&w=750&q=75
